  NIT   NF   F                       GTG
  307 4592  2.703581917742297E-02   1.77293117E+00
  308 4626  2.670985602821521E-02   7.76019952E+00
  309 4638  2.662829312757035E-02   3.60457806E-01
  310 4650  2.651927783780630E-02   1.45350420E+00
  311 4661  2.643291049451820E-02   1.40259910E+00
  312 4679  2.621241406564858E-02   4.40026508E+00
  313 4690  2.614721983229957E-02   2.15349852E+00
  314 4701  2.605162600083322E-02   1.02440528E+01
  315 4711  2.596116816185247E-02   1.60370087E+00
  316 4722  2.586873362574388E-02   3.79898600E+00
  317 4734  2.573801808388270E-02   1.57595360E+00
  318 4757  2.546073375635788E-02   1.57367361E+00
  319 4760  2.544532307071602E-02   8.32247863E-01
  320 4774  2.536214598176632E-02   1.61762829E-01
  321 4794  2.525232296631229E-02   1.35406459E+00
  322 4804  2.522691980667978E-02   7.60316641E-01
  323 4821  2.517549857028549E-02   4.10018052E-01
  324 4833  2.513742596963002E-02   1.34005089E+00
  325 4850  2.506439436387856E-02   5.03239491E-01
  326 4876  2.494967078570198E-02   5.58542658E-01
  327 4900  2.486930126579296E-02   6.00218791E-01
  328 4911  2.485044190765553E-02   5.49160528E-01
  329 4922  2.482715866177697E-02   5.44633185E-02
  330 4937  2.480004123397663E-02   2.63913291E-02
  331 4955  2.477512185956247E-02   3.36323260E-01
  332 4972  2.474719532429626E-02   1.64001590E-01
  333 4989  2.471985526293382E-02   4.46436594E-01
  334 5000  2.469842543254627E-02   3.23830354E-01
  335 5011  2.468173801615984E-02   1.06286885E+00
  336 5021  2.466133273679932E-02   3.07932187E-02
  337 5031  2.464050436013308E-02   1.84776950E-02
  338 5050  2.458592006981888E-02   2.85437456E-01
  339 5069  2.453461767549135E-02   8.16456324E-01
  340 5079  2.451647203047205E-02   6.15077723E-01
  341 5089  2.447491138927648E-02   4.17854028E-01
  342 5101  2.442240981284801E-02   5.55054262E-01
  343 5112  2.437084857143334E-02   1.07208402E-01
  344 5131  2.427587781548813E-02   1.02332067E+00
  345 5143  2.423425997256728E-02   1.16394109E-01
  346 5172  2.407300994156902E-02   1.99786555E+00
